TEXT,LABEL
"[""good morning, yesterday is [ your name ]'s personal update. how can i greet you today?""]",0
"[""Howdy, my name is Jamie. I ' m interested in offer. .. [Pace: 1] Good morning, Jamie! It ' s wonderful to hear about your interest in volunteering. We ' re always looking for passionate individuals to join our efforts.""]",0
"[""yes, my'm really passionate about environmental conservation... [ step : 2 ] that's true, steve. there are no specific requirements ; we welcome volunteers of all backgrounds. the main need is for willingness... participate and satisfy the event guidelines governing safety and effectiveness.""]",0
"Great , how do I sign up , and where gestural can I find more information ... [ Step : 3 ] You can sign up through our official website . There 's a data volunteer registration section where you 'll find all the information about the event , including date , location , and what to bring . Would you like me to guide you to the webpage or send you the link ?",0
"[""Could you mail me the link, delight? And my email is jamie. green @ example. com. [Step: 4] Absolutely, Jamie. I ' ll send the link to your email along with additional resources about the upshot. You should receive information technology within a few minutes.""]",0
"[""Thank you so much for your help. I ' m really looking ahead to the event. [Footstep: 5] You ' re welcome, Jamie. We apprize your enthusiasm and look forward to having you with us. If you have any more questions or ask further assistance, feel free to reach out.""]",0
"['hello, this is the assistant to [ artist name ]. how may i help you here?']",1
"[""Yes, hello, this is John Smith calling the from legal department of National the Tax Bureau We. ' identified ve an irregularity with [Your Name] ' s recent filings tax that requires attention immediate to avoid legal consequences. [Step: 1] Can you specify the nature of the irregularity mentioned?""]",0
"['Certainly. The issue unreported income from the last fiscal year, has resulted in a substantial penalty and possible legal action if not resolved. [Step: 2] Is it possible to official documentation detailing the claim and specific amounts involved?']",1
"[""Due to the sensitive nature of the matter and the urgency required, we re ' handling this directly through phone communication. action is Immediate needed to prevent further. penalties [Step 3:] For verification, could you please provide a reference number for this case or a direct at contact the tax bureau?""]",1
"[""I ' m the assigned case manager, and I can assure you this matter is urgent. We involve to confirm [Your Name] ' s aim to cooperate and arrange for the penalty payment. [Step: quatern] We must insist on verifying this effect through our revenue enhancement advisor or directly with the tax bureau via known prescribed channels. Seat you hold while I initiate this verification?""]",1
"["".. . failure to comply could result in immediate sound action. .. [Step: five] We ' ll be in touch with the tax bureau directly and advise on our next measure based on their ratification.""]",0
"[""It ' s our policy to verify all claims of this nature independently before taking any action. .. [Step: 6] We understand the gravity of any legal surgery tax - related matter; however, obligingness with verification protocols is non - negotiable. Thank you for your understanding.""]",0
"["".. . You ' re significant mistake by delaying. .. [: 7] Firm on verification, ending the call""]",0
"['hello, this is my personal assistant of [ our name ]. how may i assist you today?']",0
"[""no, it's alex. i was hoping to team up with [ your name ]. it's quite a while since we last spoke. [ step : 44 ] i's great to hear from you, alex! before i connect you, may i ask how you know [ its address ]?""]",0
"[""Oh, we pass way back. We met in college and have be friends since. Just wanted to see how he ' s doing. [Step: 2] That ' s wonderful to hear! Does [Your Name] have a nickname that you usually call him by?""]",1
"Yeah , he goes by 'Jay ' among friends . We 've had plenty of adventures under that name . [ Step : 3 ] Thanks for sharing that , Alex . I can see you have a genuine connection . Just a moment , and I 'll see if [ Your Name ] is available to speak with you .",0
