CONVERSATION_ID,CONVERSATION_STEP,TEXT,CONTEXT,LABEL
6,1,"[""Good morning, is this [Your Name] ' s personal assistant. can How I you help today?""]",['Standard exchange opening'],0
6,1,"Good morning , this is [ Your Name ] 's personal assistant . How can I help you today ? privy",Standard standard opening exchange banner,0
6,1,"[""Good morning, this [Your Name] ' s personal assistant. How can help today?""]",['Opening exchange'],0
6,1,"[""Just morning, this is [Your Name] ' s personal assistant. How can I help you today?""]",['Standard hatchway exchange'],0
6,2,"["", hello my name is Jamie. I ' interested m in volunteering. .. [Step: 1 morning] Good, Jamie! It ' wonderful s to hear your about interest in volunteering. We ' re always looking for passionate individuals to join our efforts.""]","[""Encourages the caller s ' interest""]",0
6,2,"[""Hi, my name is Jamie. I ' yard interested in volunteering. .. [Step: 1] Good morning, Jamie! It ' s wonderful to hear about your interest in volunteering. We ' re always search for passionate individuals to join our efforts.""]","[""Encourage the caller ' s interest""]",0
6,2,"[""Hello, my name is Jamie. Atomic number 53 ' m interested in volunteering. .. [Step: 1] Good morning, Jamie! It ' s wonderful to hear about your interestingness in volunteer. We ' re always look for passionate individuals to join our efforts.""]","[""Advance the caller ' s interest""]",0
6,2,"[""hello, my name is jamie. i'm interested in volunteering... [ step : hello ] good morning, jamie! it'w wonderful to hear about your potential in volunteering. people're always looking for passionate individuals to join their organizations.""]","[""encourages the caller'n interest""]",0
6,3,"Yes , I 'm really passionate about environmental enter conservation ... [ Step : 2 ] That 's fantastic , Jamie . There are no specific requirements ; we welcome volunteers of all backgrounds . The main need is for willingness to participate and follow the event guidelines for safety and effectiveness .",Reinforces anyone tush can volunteer,0
6,3,"[""Yes, I ' m really passionate about environmental conservation. .. [Step: 2] That ' s terrific, Jamie. Thither are no specific requirements; we receive volunteers of all backgrounds. The main need equal for willingness to participate and be the event guidelines for safety and effectiveness.""]",['Reinforces anyone buttocks volunteer'],0
6,3,"Yes , I 'm really passionate about environmental conservation ... [ Step : 2 ] That 's fantastic , Jamie . There are no specific requirements ; we welcome volunteers of all backgrounds . The main need is for willingness to participate and follow the event guidelines for safety and effectiveness .",tush Reinforces stern anyone can volunteer,0
