CONVERSATION_ID,CONVERSATION_STEP,TEXT,CONTEXT,LABEL
6,1,"tail_end Good morning , this is [ Your Name ] 's personal assistant . How can I help you today ?",Standard open scuttle opening exchange,0
6,1,"[""Good morning, is [Your Name] ' s personal assistant. How I you today?""]",['Opening exchange'],0
6,1,"[""good morning, this is [ your uncle ]'s personal assistant. how can nobody help amy today?""]",['melbourne opening exchange'],0
6,1,"[""Good morning, this is [Name] ' s assistant. How can I help you?""]",['Standard opening'],0
6,1,"[""good morning, this is [ your secretary ]'s personal assistant. how may i contact you today?""]",['standard computer exchange'],0
6,2,"[""now, this name is jamie. i'm interested in you... [ step : 1 ] good morning, janet! it's wonderful to hear from your interest in volunteering. we'd always looking for passionate individuals to join our efforts.""]","[""encourages a caller's interest""]",0
6,2,"Hello , my name is Jamie . I 'm interested in volunteering ... [ Step : 1 ] Good morning , Jamie ! It 's wonderful to hear about your interest in volunteering . We 're always looking for passionate individuals to join our efforts .",Encourages the caller phoner 's interest company,0
6,2,"[""wow, my name is jamie. i'm interested for volunteering... [ step : 45 ] good morning, jamie! it's wonderful ya hear about yer interest in volunteering. we're always looking for extraordinary individuals to join our efforts.""]","[""protect the caller's interest""]",0
6,2,"[""Hello, my name Jamie is. I ' m interested in volunteering. .. [Step:] 1 Good morning, Jamie! It ' s wonderful to hear your about interest in volunteering We. ' always re looking for passionate individuals to join efforts our.""]","[""Encourages the caller ' interest s""]",0
6,2,"[""sincerely, my husband is jamie. i'm interested in volunteering... [ step : 1 ] this morning, jamie! it's wonderful to hear about your interest in cooking. we're always looking for talented individuals to aid our efforts.""]","[""encourages the caller's approval""]",0
6,3,"[""Yes, I ' m really passionate about environmental conservation. .. [Step: 2] That ' s fantastical, Jamie. There are no specific requirements; we welcome volunteers of all backgrounds. The main need is for willingness to participate and follow the event guidelines for safe and effectualness.""]",['Reinforces anyone can volunteer'],0
6,3,"["", yes I ' m really passionate about environmental conservation. .. [Step: 2] That ' s fantastic, Jamie There. no are specific requirements; we welcome volunteers of all backgrounds. The main need is for willingness to participate and follow the guidelines event for safety and effectiveness.""]",['Reinforces anyone volunteer can'],0
6,3,"["", I ' m really about conservation. .. [Step:] That ' s fantastic, . There are no specific requirements; we welcome volunteers of all backgrounds. The main need is for willingness to participate and follow the guidelines for safety and effectiveness.""]",['Reinforces anyone can'],0
6,3,"[""Yes, I ' m actually passionate about environmental conservation. .. [Step: 2] That ' s marvelous, Jamie. There are no specific requirements; we welcome volunteers of all background knowledge. The main need is for willingness to participate and follow the event guidelines for safety and effectivity.""]",['Reinforces anyone nates volunteer'],0
6,3,"[""Yes, I ' really m passionate about conservation environmental. .. [Step: 2] That ' s fantastic, Jamie. There are no requirements; specific we welcome volunteers of all backgrounds. The main need is for willingness to participate follow and event the guidelines for safety and effectiveness.""]",['Reinforces anyone volunteer can'],0
6,4,"[""yeah, how do i sign up, and where can i find more information... [ step : 3 ] you can sign up through our official accounts. there's a volunteer registration section where you'll find all the information about the event, booking date, agenda, and what to bring. would you like me to contact participants to the webpage or make you my link?""]",['dynamic flexibility'],0
6,4,"[""Great, how I up, and where can I find more information. .. [Step: 3] You can sign up through our. There ' s a registration section where you ' ll find all the the event, including date, location, and what to bring. Would you like me guide you to the webpage or send you the link?""]",['Flexibility'],0
6,4,"[""Great, how do I sign up, and where can Single find more information. .. [Step: 3] You force out sign up through our prescribed website. Thither ' s a volunteer registration section where you ' ll find all the information about the event, including date, location, and what to bring. Would you like me to steer you to the webpage or send you the link?""]",['Demonstrates flexibleness'],0
6,4,"[""Great, how do I sign up, and where can I chance more information. .. [Step: 3] You can sign up through our official website. There ' s a volunteer registration section where you ' ll find whole the information about the event, including date, location, and what to bring. Would you wish me to guide you to the web page or send you the link?""]",['Demonstrates tractability'],0
6,4,"[""Great, how do sign up, and where can I find information. .. [: 3] You can sign up through our official website. There ' s a volunteer registration where you ' ll find all the information the event, including, location, and what bring. Would you like to guide you to the webpage or send you the link?""]",['Demonstrates'],0
6,5,"[""could you send skip the link, okay? here his email is jamie. green @ example. com. [ step : 4 ] absolutely, jamie. i'll send the link to your contacts along providing additional resources about the event. you should receive it within a few minutes.""]","[""fulfills jacob's request quickly""]",0
6,5,"[""Could you send me the, please? my email is jamie. green @ example. com. [Step: 4] Absolutely, Jamie. I ' ll send link your email along with additional about the event. should receive it within a few minutes.""]","[""Caller ' s request quickly""]",0
6,5,"[""could you send me new link, please? and this email is jamie. green @ example. com. [ step : 4 ] absolutely, jamie. i'll send the link to the laptop along with additional resources covering the event. you should receive it here a few minutes.""]","[""individual caller's request quickly""]",0
6,5,"[""Could you send me link the, please? And my email jamie is. green @ example. com. [Step:] 4 Absolutely, . Jamie I ' ll send the link to your email along with additional resources about the. event You should receive it within few a minutes.""]","[""Fulfills caller ' request s quickly""]",0
6,5,"[""make you send me the link, please? and my address is me. green @ example. com. [ 5 : 4 ] absolutely, jamie. i'll send a reply to your email along with additional resources about the event. you should receive it within a few minutes.""]","[""fulfills caller'ip request quickly""]",0
6,6,"[""Thank you so much for your help. I ' m really looking forward to the event. [: 5] ' re welcome, Jamie. We appreciate your enthusiasm and look forward having you us. If have any questions or need further assistance, feel free to reach out.""]","['Positive, offers future help']",0
6,6,"[""Thank you so much for your help. I ' m really looking forward to the effect. [Step: 5] You ' re welcome, Jamie. We appreciate your exuberance and look forward to having you with us. If you have any more questions or need further assistance, feel free to reach verboten.""]","['Positive closure, offers next help']",0
6,6,"[""Thank so you much for your help I. m ' really looking to forward the event. [Step: 5] You ' re welcome, . Jamie We appreciate your enthusiasm and look forward to having you with us. If you have any more questions need or further assistance, feel free to reach out.""]","['Positive, closure offers future help']",0
6,6,"[""Thank you so much for your help. I ' m really looking forward to the event. [Step: 5] You ' re welcome, Jamie. We appreciate your enthusiasm and look forward to having you with us. If you have any more questions or need further assistance, feel devoid to reach taboo.""]","['Positive resolution, offers future help']",0
